CellID,Sample
638806,WD-76845-097
293986,WD-76845-097
706797,WD-76845-097
251611,WD-76845-097
1149162,WD-76845-097
750482,WD-76845-097
224274,WD-76845-097
940612,WD-76845-097
196224,WD-76845-097
244389,WD-76845-097
817008,WD-76845-097
651786,WD-76845-097
1051219,WD-76845-097
209460,WD-76845-097
229912,WD-76845-097
190770,WD-76845-097
221747,WD-76845-097
533083,WD-76845-097
565136,WD-76845-097
247763,WD-76845-097
255071,WD-76845-097
311756,WD-76845-097
177684,WD-76845-097
788568,WD-76845-097
763094,WD-76845-097
552964,WD-76845-097
177330,WD-76845-097
802136,WD-76845-097
602792,WD-76845-097
218418,WD-76845-097
215248,WD-76845-097
765146,WD-76845-097
221860,WD-76845-097
213145,WD-76845-097
193539,WD-76845-097
769924,WD-76845-097
1236954,WD-76845-097
469334,WD-76845-097
724801,WD-76845-097
449538,WD-76845-097
252827,WD-76845-097
760333,WD-76845-097
678129,WD-76845-097
751397,WD-76845-097
755570,WD-76845-097
225923,WD-76845-097
179556,WD-76845-097
1035302,WD-76845-097
225325,WD-76845-097
289540,WD-76845-097
253634,WD-76845-097
691144,WD-76845-097
721623,WD-76845-097
225878,WD-76845-097
721982,WD-76845-097
876918,WD-76845-097
270313,WD-76845-097
179453,WD-76845-097
178835,WD-76845-097
861936,WD-76845-097
843234,WD-76845-097
702410,WD-76845-097
718603,WD-76845-097
268735,WD-76845-097
272335,WD-76845-097
208121,WD-76845-097
980782,WD-76845-097
553222,WD-76845-097
189576,WD-76845-097
745080,WD-76845-097
638147,WD-76845-097
719763,WD-76845-097
712769,WD-76845-097
826370,WD-76845-097
188905,WD-76845-097
241982,WD-76845-097
166183,WD-76845-097
203086,WD-76845-097
275393,WD-76845-097
1110874,WD-76845-097
782857,WD-76845-097
377055,WD-76845-097
742167,WD-76845-097
181378,WD-76845-097
708008,WD-76845-097
593798,WD-76845-097
175342,WD-76845-097
776934,WD-76845-097
820021,WD-76845-097
701549,WD-76845-097
931645,WD-76845-097
680379,WD-76845-097
277298,WD-76845-097
701150,WD-76845-097
565881,WD-76845-097
199835,WD-76845-097
619150,WD-76845-097
1027450,WD-76845-097
966685,WD-76845-097
768759,WD-76845-097
1236523,WD-76845-097
1016683,WD-76845-097
263892,WD-76845-097
305831,WD-76845-097
270873,WD-76845-097
595886,WD-76845-097
194738,WD-76845-097
209359,WD-76845-097
245914,WD-76845-097
233907,WD-76845-097
1148964,WD-76845-097
954837,WD-76845-097
253697,WD-76845-097
770696,WD-76845-097
245963,WD-76845-097
353410,WD-76845-097
775156,WD-76845-097
276117,WD-76845-097
664846,WD-76845-097
170804,WD-76845-097
269474,WD-76845-097
223427,WD-76845-097
736810,WD-76845-097
217267,WD-76845-097
1186308,WD-76845-097
784686,WD-76845-097
242131,WD-76845-097
329412,WD-76845-097
1032764,WD-76845-097
1115112,WD-76845-097
985135,WD-76845-097
592704,WD-76845-097
922162,WD-76845-097
680722,WD-76845-097
1001436,WD-76845-097
214743,WD-76845-097
939702,WD-76845-097
1005663,WD-76845-097
171026,WD-76845-097
1096201,WD-76845-097
552607,WD-76845-097
771017,WD-76845-097
722780,WD-76845-097
902372,WD-76845-097
170497,WD-76845-097
231800,WD-76845-097
1122102,WD-76845-097
245327,WD-76845-097
950695,WD-76845-097
720686,WD-76845-097
231001,WD-76845-097
534556,WD-76845-097
175994,WD-76845-097
259837,WD-76845-097
618312,WD-76845-097
770353,WD-76845-097
726229,WD-76845-097
565665,WD-76845-097
793055,WD-76845-097
316170,WD-76845-097
697298,WD-76845-097
231327,WD-76845-097
279686,WD-76845-097
249794,WD-76845-097
975659,WD-76845-097
486153,WD-76845-097
693492,WD-76845-097
682653,WD-76845-097
1125320,WD-76845-097
721048,WD-76845-097
268583,WD-76845-097
1231968,WD-76845-097
322618,WD-76845-097
775900,WD-76845-097
743976,WD-76845-097
591669,WD-76845-097
816200,WD-76845-097
1007202,WD-76845-097
227500,WD-76845-097
235968,WD-76845-097
877332,WD-76845-097
206566,WD-76845-097
200811,WD-76845-097
703722,WD-76845-097
712211,WD-76845-097
211730,WD-76845-097
764636,WD-76845-097
820023,WD-76845-097
206728,WD-76845-097
191778,WD-76845-097
1185596,WD-76845-097
1047649,WD-76845-097
215730,WD-76845-097
181486,WD-76845-097
246980,WD-76845-097
999171,WD-76845-097
179150,WD-76845-097
759803,WD-76845-097
740267,WD-76845-097
172201,WD-76845-097
176912,WD-76845-097
650701,WD-76845-097
694729,WD-76845-097
593074,WD-76845-097
1044173,WD-76845-097
778795,WD-76845-097
761571,WD-76845-097
549591,WD-76845-097
287436,WD-76845-097
174460,WD-76845-097
193531,WD-76845-097
733901,WD-76845-097
974771,WD-76845-097
247852,WD-76845-097
700268,WD-76845-097
816751,WD-76845-097
175466,WD-76845-097
180957,WD-76845-097
882747,WD-76845-097
224375,WD-76845-097
165614,WD-76845-097
1156010,WD-76845-097
262200,WD-76845-097
252702,WD-76845-097
773488,WD-76845-097
306452,WD-76845-097
937236,WD-76845-097
204595,WD-76845-097
229243,WD-76845-097
176770,WD-76845-097
765911,WD-76845-097
276158,WD-76845-097
432452,WD-76845-097
215249,WD-76845-097
256943,WD-76845-097
777508,WD-76845-097
758004,WD-76845-097
179741,WD-76845-097
1116083,WD-76845-097
720124,WD-76845-097
706137,WD-76845-097
251615,WD-76845-097
274816,WD-76845-097
664291,WD-76845-097
185951,WD-76845-097
803116,WD-76845-097
1050961,WD-76845-097
365387,WD-76845-097
671012,WD-76845-097
313927,WD-76845-097
1097316,WD-76845-097
1013810,WD-76845-097
664559,WD-76845-097
222550,WD-76845-097
205303,WD-76845-097
1106433,WD-76845-097
332546,WD-76845-097
197890,WD-76845-097
774601,WD-76845-097
260986,WD-76845-097
263162,WD-76845-097
1121522,WD-76845-097
646488,WD-76845-097
723480,WD-76845-097
649300,WD-76845-097
686658,WD-76845-097
169393,WD-76845-097
673031,WD-76845-097
265603,WD-76845-097
1109244,WD-76845-097
733847,WD-76845-097
789237,WD-76845-097
403924,WD-76845-097
823858,WD-76845-097
196305,WD-76845-097
177018,WD-76845-097
524957,WD-76845-097
976465,WD-76845-097
268077,WD-76845-097
875421,WD-76845-097
268336,WD-76845-097
725298,WD-76845-097
1094362,WD-76845-097
265153,WD-76845-097
714305,WD-76845-097
718539,WD-76845-097
176260,WD-76845-097
303043,WD-76845-097
332097,WD-76845-097
1094913,WD-76845-097
755912,WD-76845-097
1031176,WD-76845-097
181108,WD-76845-097
725924,WD-76845-097
385036,WD-76845-097
650700,WD-76845-097
724804,WD-76845-097
221494,WD-76845-097
1198960,WD-76845-097
526467,WD-76845-097
405568,WD-76845-097
663787,WD-76845-097
178935,WD-76845-097
1030850,WD-76845-097
723243,WD-76845-097
172922,WD-76845-097
206669,WD-76845-097
242452,WD-76845-097
707572,WD-76845-097
267199,WD-76845-097
248004,WD-76845-097
769572,WD-76845-097
818779,WD-76845-097
224721,WD-76845-097
613285,WD-76845-097
213802,WD-76845-097
271899,WD-76845-097
189034,WD-76845-097
664931,WD-76845-097
231584,WD-76845-097
1130553,WD-76845-097
233802,WD-76845-097
190228,WD-76845-097
777492,WD-76845-097
753119,WD-76845-097
724122,WD-76845-097
626503,WD-76845-097
637051,WD-76845-097
226178,WD-76845-097
564773,WD-76845-097
738505,WD-76845-097
290278,WD-76845-097
645232,WD-76845-097
840482,WD-76845-097
209946,WD-76845-097
266384,WD-76845-097
1106351,WD-76845-097
574684,WD-76845-097
1081039,WD-76845-097
208930,WD-76845-097
241761,WD-76845-097
958482,WD-76845-097
199986,WD-76845-097
214673,WD-76845-097
853042,WD-76845-097
181699,WD-76845-097
884746,WD-76845-097
562753,WD-76845-097
232754,WD-76845-097
668982,WD-76845-097
312604,WD-76845-097
170886,WD-76845-097
723311,WD-76845-097
1117198,WD-76845-097
691554,WD-76845-097
172452,WD-76845-097
838459,WD-76845-097
895924,WD-76845-097
674532,WD-76845-097
222276,WD-76845-097
910907,WD-76845-097
419711,WD-76845-097
235194,WD-76845-097
735596,WD-76845-097
196057,WD-76845-097
700526,WD-76845-097
226495,WD-76845-097
1096370,WD-76845-097
323772,WD-76845-097
171500,WD-76845-097
618060,WD-76845-097
597556,WD-76845-097
728426,WD-76845-097
649742,WD-76845-097
264529,WD-76845-097
372107,WD-76845-097
254238,WD-76845-097
980527,WD-76845-097
178800,WD-76845-097
659882,WD-76845-097
775748,WD-76845-097
210314,WD-76845-097
752902,WD-76845-097
1106255,WD-76845-097
1083466,WD-76845-097
560871,WD-76845-097
272132,WD-76845-097
863355,WD-76845-097
686081,WD-76845-097
623738,WD-76845-097
707022,WD-76845-097
268202,WD-76845-097
163931,WD-76845-097
635643,WD-76845-097
244390,WD-76845-097
202210,WD-76845-097
296008,WD-76845-097
993957,WD-76845-097
701023,WD-76845-097
776257,WD-76845-097
1119238,WD-76845-097
638966,WD-76845-097
772273,WD-76845-097
956446,WD-76845-097
311354,WD-76845-097
976872,WD-76845-097
200091,WD-76845-097
890381,WD-76845-097
692232,WD-76845-097
255418,WD-76845-097
189805,WD-76845-097
164835,WD-76845-097
168916,WD-76845-097
812224,WD-76845-097
744214,WD-76845-097
678344,WD-76845-097
726052,WD-76845-097
672586,WD-76845-097
1211202,WD-76845-097
674104,WD-76845-097
762875,WD-76845-097
837744,WD-76845-097
178629,WD-76845-097
173667,WD-76845-097
756456,WD-76845-097
692993,WD-76845-097
974850,WD-76845-097
730670,WD-76845-097
766336,WD-76845-097
805084,WD-76845-097
1023544,WD-76845-097
933641,WD-76845-097
361489,WD-76845-097
553848,WD-76845-097
1031484,WD-76845-097
725309,WD-76845-097
555347,WD-76845-097
968599,WD-76845-097
294669,WD-76845-097
861115,WD-76845-097
758174,WD-76845-097
580992,WD-76845-097
255727,WD-76845-097
238856,WD-76845-097
938201,WD-76845-097
711545,WD-76845-097
764548,WD-76845-097
285621,WD-76845-097
821843,WD-76845-097
538861,WD-76845-097
277612,WD-76845-097
862481,WD-76845-097
300813,WD-76845-097
182327,WD-76845-097
167104,WD-76845-097
230484,WD-76845-097
702886,WD-76845-097
168942,WD-76845-097
729860,WD-76845-097
993303,WD-76845-097
226394,WD-76845-097
852616,WD-76845-097
243838,WD-76845-097
771581,WD-76845-097
169626,WD-76845-097
878220,WD-76845-097
619841,WD-76845-097
227652,WD-76845-097
169027,WD-76845-097
804466,WD-76845-097
565726,WD-76845-097
228570,WD-76845-097
206168,WD-76845-097
246148,WD-76845-097
767915,WD-76845-097
763475,WD-76845-097
893440,WD-76845-097
317609,WD-76845-097
802301,WD-76845-097
590383,WD-76845-097
526039,WD-76845-097
173547,WD-76845-097
243438,WD-76845-097
859651,WD-76845-097
260987,WD-76845-097
1112365,WD-76845-097
284979,WD-76845-097
256885,WD-76845-097
225562,WD-76845-097
524204,WD-76845-097
195726,WD-76845-097
710568,WD-76845-097
660128,WD-76845-097
226942,WD-76845-097
225875,WD-76845-097
226643,WD-76845-097
171498,WD-76845-097
772095,WD-76845-097
407786,WD-76845-097
296633,WD-76845-097
785311,WD-76845-097
626800,WD-76845-097
780462,WD-76845-097
203611,WD-76845-097
245605,WD-76845-097
